symbol,organ_name,icb_name,exchange
EID,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Dịch vụ Tiêu dùng,HNX
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Tài chính,HOSE
CMM,Công ty Cổ phần Camimex,Hàng Tiêu dùng,UPCOM
HAS,Công ty Cổ phần Hacisco,Công nghiệp,HOSE
HRB,Công ty Cổ phần Harec Đầu tư và Thương Mại,Tài chính,UPCOM
HSP,Công ty Cổ phần Sơn Tổng hợp Hà Nội,Công nghiệp,UPCOM
CKV,Công ty Cổ phần CokyVina,Công nghệ Thông tin,HNX
ADP,Công ty Cổ phần Sơn Á Đông,Công nghiệp,HOSE
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,Công nghiệp,HOSE
HTC,Công ty Cổ phần Thương mại Hóc Môn,Tiện ích Cộng đồng,HNX
DND,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Công nghiệp,UPCOM
DTP,Công ty Cổ phần Dược phẩm CPC1 Hà Nội,Dược phẩm và Y tế,UPCOM
CCC,Công ty Cổ Phần Xây Dựng CDC,Công nghiệp,HOSE
HTN,Công ty Cổ phần Hưng Thịnh Incons,Tài chính,HOSE
CLC,Công ty Cổ phần Cát Lợi,Hàng Tiêu dùng,HOSE
DHP,Công ty Cổ phần Điện cơ Hải Phòng,Công nghiệp,HNX
HU1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,Công nghiệp,HOSE
CLG,Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec,Tài chính,UPCOM
HU6,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD6,Tài chính,UPCOM
HUT,Công ty Cổ phần Tasco,Hàng Tiêu dùng,HNX
HVA,Công ty Cổ phần Đầu tư HVA,Tài chính,UPCOM
IDC,Tổng Công ty IDICO - CTCP,Tài chính,HNX
CMF,Công ty Cổ phần Thực phẩm Cholimex,Hàng Tiêu dùng,UPCOM
HVH,Công ty Cổ phần Đầu tư và Công nghệ HVC,Công nghiệp,HOSE
IBC,Công ty Cổ phần Đầu tư APAX Holdings,Tài chính,UPCOM
ICF,Công ty Cổ phần Đầu tư - Thương mại - Thuỷ sản,Hàng Tiêu dùng,UPCOM
ICG,Công ty Cổ phần Xây dựng Sông Hồng,Công nghiệp,HNX
LIG,Công ty Cổ phần Licogi 13,Công nghiệp,HNX
HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,Hàng Tiêu dùng,HOSE
ICI,Công ty Cổ phần Đầu tư và Xây dựng Công nghiệp,Công nghiệp,UPCOM
FTS,Công ty Cổ phần Chứng khoán FPT,Tài chính,HOSE
IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,Hàng Tiêu dùng,HOSE
BGW,Công ty Cổ phần Nước sạch Bắc Giang,Tiện ích Cộng đồng,UPCOM
CH5,Công ty Cổ phần Xây dựng số 5 Hà Nội,Công nghiệp,UPCOM
BHA,Công ty Cổ phần Thủy điện Bắc Hà,Tiện ích Cộng đồng,UPCOM
IDV,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,Tài chính,HNX
ILA,Công ty Cổ phần ILA,Công nghiệp,UPCOM
IME,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công nghiệp,UPCOM
HCT,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng,Công nghiệp,HNX
DSD,Công ty cổ phần DHC Suối Đôi,Dịch vụ Tiêu dùng,UPCOM
DKG,Công ty Cổ Phần Tập đoàn DamiK,Công nghiệp,UPCOM
ECO,Công ty Cổ Phần Nhựa Sinh Thái Việt Nam,Nguyên vật liệu,UPCOM
DVC,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,Tiện ích Cộng đồng,UPCOM
XDH,Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội,Tài chính,UPCOM
INN,Công ty Cổ phần Bao bì và In Nông nghiệp,Công nghiệp,HNX
ING,Công ty Cổ phần Đầu Tư Và Phát Triển Xây Dựng,Công nghiệp,UPCOM
IPA,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,Công nghiệp,HNX
HPX,Công ty Cổ phần Đầu tư Hải Phát,Tài chính,HOSE
ISG,Công ty Cổ phần Vận tải biển và Hợp tác lao động Quốc Tế,Công nghiệp,UPCOM
DNN,Công ty Cổ phần Cấp nước Đà Nẵng,Tiện ích Cộng đồng,UPCOM
TAB,Công ty Cổ phần Freco Việt Nam,Công nghiệp,UPCOM
ITQ,Công ty Cổ phần Tập đoàn Thiên Quang,Nguyên vật liệu,HNX
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc,Tài chính,HOSE
KDC,Công ty Cổ phần Tập đoàn KIDO,Hàng Tiêu dùng,HOSE
DHD,Công ty Cổ phần Dược Vật Tư Y Tế Hải Dương,Dược phẩm và Y tế,UPCOM
KHG,Công ty Cổ phần Tập đoàn Khải Hoàn Land,Tài chính,HOSE
MCG,Công ty Cổ phần Năng lượng và Bất động sản MCG,Công nghiệp,UPCOM
BHH,Công ty Cổ Phần Thương Mại Bia Hà Nội - Hưng Yên 89,Hàng Tiêu dùng,UPCOM
KHL,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long,Công nghiệp,UPCOM
KHP,Công ty Cổ phần Điện lực Khánh Hòa,Tiện ích Cộng đồng,HOSE
HEC,Công ty Cổ phần Tư vấn xây dựng Thủy Lợi II,Công nghiệp,UPCOM
HEJ,Tổng Công ty Tư vấn Xây dựng Thủy Lợi Việt Nam - CTCP,Công nghiệp,UPCOM
CLW,Công ty Cổ phần Cấp nước Chợ Lớn,Tiện ích Cộng đồng,HOSE
KGM,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Dịch vụ Tiêu dùng,UPCOM
API,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Tài chính,HNX
NO1,Công ty Cổ phần Tâp đoàn 911,Công nghiệp,HOSE
KKC,Công ty Cổ phần Tập đoàn Thành Thái,Nguyên vật liệu,HNX
KLF,Công ty Cổ phần Đầu tư Thương mại và Xuất nhập khẩu CFS,Dịch vụ Tiêu dùng,UPCOM
HEP,Công ty Cổ phần Môi trường và Công trình đô thị Huế,Công nghiệp,UPCOM
KMR,Công ty Cổ phần Mirae,Hàng Tiêu dùng,HOSE
HFX,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Thanh Hà,Dịch vụ Tiêu dùng,UPCOM
CHC,Công ty Cổ phần Cẩm Hà,Công nghiệp,UPCOM
KMT,Công ty Cổ phần Kim khí Miền Trung,Nguyên vật liệu,HNX
APL,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,Công nghiệp,UPCOM
HLT,Công ty Cổ phần Dệt may Hoàng Thị Loan,Hàng Tiêu dùng,UPCOM
KOS,Công ty Cổ phần KOSY,Tài chính,HOSE
CKA,Công ty Cổ phần Cơ khí An Giang,Công nghiệp,UPCOM
AGP,Công ty Cổ phần Dược phẩm AGIMEXPHARM,Dược phẩm và Y tế,UPCOM
KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,Nguyên vật liệu,HOSE
AGM,Công ty Cổ phần Xuất nhập khẩu An Giang,Hàng Tiêu dùng,UPCOM
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Hàng Tiêu dùng,HOSE
DPR,Công ty Cổ phần Cao su Đồng Phú,Nguyên vật liệu,HOSE
BMK,Công ty Cổ Phần Kỹ thuật Nhiệt Mèo Đen,Công nghiệp,UPCOM
DSG,Công ty Cổ phần Kính Đáp Cầu,Công nghiệp,UPCOM
KSH,Công ty Cổ phần Damac GLS,Hàng Tiêu dùng,UPCOM
KHD,"Công ty Cổ phần Khai thác, Chế biến Khoáng sản Hải Dương",Nguyên vật liệu,UPCOM
HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,Nguyên vật liệu,HOSE
KSV,Tổng Công ty Khoáng sản TKV - Công ty Cổ phần,Nguyên vật liệu,HNX
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Tài chính,HNX
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Tài chính,HOSE
HSV,Công ty Cổ phần Tập đoàn HSV Việt Nam,Nguyên vật liệu,UPCOM
KTL,Công ty Cổ phần Kim khí Thăng Long,Nguyên vật liệu,UPCOM
KTS,Công ty Cổ phần Đường Kon Tum,Hàng Tiêu dùng,HNX
KTT,Công ty Cổ phần Tập đoàn Đầu tư KTT,Công nghiệp,UPCOM
C69,Công ty Cổ phần Xây dựng 1369,Công nghiệp,HNX
G20,Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc,Hàng Tiêu dùng,UPCOM
L14,Công ty Cổ phần Licogi 14,Công nghiệp,HNX
DPS,Công ty Cổ phần Đầu tư Phát triển Sóc Sơn,Nguyên vật liệu,UPCOM
MGR,Công ty cổ phần Tập đoàn MGROUP,Tài chính,UPCOM
C21,Công ty Cổ phần Thế kỷ 21,Tài chính,UPCOM
L18,Công ty Cổ phần Đầu tư và Xây dựng số 18,Công nghiệp,HNX
HHC,Công ty Cổ phần Bánh kẹo Hải Hà,Hàng Tiêu dùng,HNX
L43,Công ty Cổ phần Lilama 45.3,Công nghiệp,UPCOM
CDN,Công ty Cổ phần Cảng Đà Nẵng,Công nghiệp,HNX
L44,Công ty Cổ phần Lilama 45.4,Công nghiệp,UPCOM
DKW,Công ty Cổ phần Cấp nước sinh hoạt Châu Thành,Tiện ích Cộng đồng,UPCOM
BLT,Công ty Cổ phần Lương thực Bình Định,Hàng Tiêu dùng,UPCOM
L62,Công ty Cổ phần Lilama 69 - 2,Công nghiệp,UPCOM
DQC,Công ty Cổ phần Tập đoàn Điện Quang,Hàng Tiêu dùng,HOSE
DBD,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),Dược phẩm và Y tế,HOSE
LAF,Công ty Cổ phần Chế biến Hàng Xuất khẩu Long An,Hàng Tiêu dùng,HOSE
VMK,Công ty Cổ phần Vimarko,Công nghiệp,UPCOM
LMI,Công ty Cổ phần Đầu tư Xây dựng Lắp máy IDICO,Công nghiệp,UPCOM
LSG,Công ty Cổ phần Bất động sản Sài Gòn Vi na,Tài chính,UPCOM
LAS,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,Nguyên vật liệu,HNX
CAG,Công ty Cổ phần Cảng An Giang,Công nghiệp,HNX
FOX,Công ty Cổ phần Viễn thông FPT,Viễn thông,UPCOM
HPI,Công ty Cổ phần Khu công nghiệp Hiệp Phước,Tài chính,UPCOM
PPT,Công ty cổ phần Petro Times,Tiện ích Cộng đồng,HNX
DRH,Công ty Cổ phần DRH Holdings,Tài chính,HOSE
HLC,Công ty Cổ phần Than Hà Lầm - Vinacomin,Nguyên vật liệu,HNX
LCC,Công ty Cổ phần Xi măng Hồng Phong,Công nghiệp,UPCOM
LCD,Công ty Cổ phần Lắp máy - Thí nghiệm cơ điện,Công nghiệp,HNX
LAW,Công ty Cổ phần Cấp thoát nước Long An,Tiện ích Cộng đồng,UPCOM
DC1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Công nghiệp,UPCOM
DRL,Công ty Cổ phần Thủy điện - Điện lực 3,Tiện ích Cộng đồng,HOSE
LQN,Công ty Cổ phần Licogi Quảng Ngãi,Công nghiệp,UPCOM
HIO,Công ty Cổ Phần Helio Energy,Tiện ích Cộng đồng,UPCOM
C32,Công ty Cổ phần Đầu tư và Xây dựng 3-2,Công nghiệp,HOSE
DSH,Công ty Cổ Phần Đầu tư Hạ tầng Đông Sơn,Công nghiệp,UPCOM
DSC,Công ty Cổ phần Chứng khoán DSC,Tài chính,HOSE
LCM,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Lào Cai,Nguyên vật liệu,UPCOM
HLY,Công ty Cổ phần Gốm xây dựng Yên Hưng,Công nghiệp,UPCOM
TTE,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,Tiện ích Cộng đồng,HOSE
DNT,Công ty Cổ phần Du lịch Đồng Nai,Dịch vụ Tiêu dùng,UPCOM
LTG,Công ty Cổ phần Tập đoàn Lộc Trời,Hàng Tiêu dùng,UPCOM
HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,Nguyên vật liệu,HOSE
HMS,Công ty Cổ phần Xây dựng Bảo tàng Hồ Chí Minh,Công nghiệp,UPCOM
CST,Công ty Cổ phần Than Cao Sơn - TKV,Nguyên vật liệu,HNX
LGC,Công ty Cổ phần Đầu tư Cầu đường CII,Công nghiệp,HOSE
HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,Tài chính,HOSE
EVE,Công ty Cổ phần Everpia,Hàng Tiêu dùng,HOSE
DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,Công nghiệp,HNX
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ Thông tin,HOSE
LGL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,Tài chính,HOSE
LHG,Công ty Cổ phần Long Hậu,Tài chính,HOSE
GCF,Công ty Cổ phần Thực phẩm G.C,Hàng Tiêu dùng,UPCOM
LIC,Tổng Công ty LICOGI - Công ty Cổ phần,Công nghiệp,UPCOM
L12,Công ty Cổ phần Licogi 12,Công nghiệp,UPCOM
BII,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư,Tài chính,UPCOM
LG9,Công ty Cổ phần Cơ giới và Xây lắp số 9,Công nghiệp,UPCOM
EIC,Công ty Cổ phần EVN Quốc Tế,Công nghiệp,UPCOM
AMS,Công ty Cổ phần Cơ khí Xây dựng AMECC,Công nghiệp,UPCOM
HPO,Công ty Cổ phần Công nghiệp Hapulico,Công nghiệp,UPCOM
LKW,Công ty Cổ phần Cấp nước Long Khánh,Tiện ích Cộng đồng,UPCOM
LM7,Công ty Cổ phần Lilama 7,Công nghiệp,UPCOM
BIO,Công ty Cổ phần Vắc xin và Sinh phẩm Nha Trang,Dược phẩm và Y tế,UPCOM
LO5,Công ty Cổ phần Lilama 5,Công nghiệp,UPCOM
CMD,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP Hồ Chí Minh,Công nghiệp,UPCOM
HRC,Công ty Cổ phần Cao su Hòa Bình,Nguyên vật liệu,HOSE
FLC,Công ty Cổ phần Tập đoàn FLC,Tài chính,UPCOM
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Tài chính,HOSE
LTC,Công ty Cổ phần Điện nhẹ Viễn Thông,Công nghệ Thông tin,UPCOM
CRC,Công ty Cổ phần Create Capital Việt Nam,Công nghiệp,HOSE
DCH,Công ty Cổ phần Địa chính Hà Nội,Tài chính,UPCOM
LUT,Công ty Cổ phần Đầu tư Xây dựng Lương Tài,Công nghiệp,UPCOM
C4G,Công ty Cổ phần Tập Đoàn Cienco4,Công nghiệp,UPCOM
MAC,Công ty Cổ phần Tập đoàn Macstar,Công nghiệp,HNX
HNA,Công ty Cổ phần Thủy điện Hủa Na,Tiện ích Cộng đồng,HOSE
HTM,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,Dịch vụ Tiêu dùng,UPCOM
HES,Công ty Cổ phần Dịch vụ Giải trí Hà Nội,Dịch vụ Tiêu dùng,UPCOM
HOM,Công ty Cổ phần Xi măng VICEM Hoàng Mai,Công nghiệp,HNX
DCT,Công ty Cổ phần Tấm lợp Vật liệu Xây dựng Đồng Nai,Công nghiệp,UPCOM
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,Tiện ích Cộng đồng,HOSE
MA1,Công ty Cổ phần Thiết bị,Tài chính,UPCOM
BKC,Công ty Cổ phần Khoáng sản Bắc Kạn,Nguyên vật liệu,HNX
MAS,Công ty cổ phần Dịch vụ Hàng Không Sân Bay Đà Nẵng,Dịch vụ Tiêu dùng,HNX
TRV,Công ty Cổ Phần Vận tải Đường sắt,Công nghiệp,UPCOM
BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,Hàng Tiêu dùng,HOSE
CYC,Công ty Cổ phần Gạch men Chang Yih,Công nghiệp,UPCOM
CAR,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,Công nghiệp,HNX
HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Công nghiệp,UPCOM
AGX,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Dịch vụ Tiêu dùng,UPCOM
MCC,Công ty Cổ phần Gạch ngói cao cấp,Công nghiệp,HNX
MCF,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Hàng Tiêu dùng,HNX
MCM,Công ty Cổ phần Giống bò sữa Mộc Châu,Hàng Tiêu dùng,HOSE
MDA,Công ty Cổ phần Môi trường Đô thị Đông Anh,Công nghiệp,UPCOM
MDC,Công ty Cổ phần Than Mông Dương - Vinacomin,Nguyên vật liệu,HNX
CMT,Công ty Cổ phần Công nghệ mạng và Truyền thông,Công nghệ Thông tin,UPCOM
HMD,Công ty Cổ phần Hóa chất Minh Đức,Nguyên vật liệu,UPCOM
C92,Công ty Cổ phần Xây dựng và Đầu tư 492,Công nghiệp,UPCOM
D11,Công ty Cổ phần Địa ốc 11,Tài chính,HNX
MDF,Công ty Cổ phần Gỗ MDF VRG - Quảng Trị,Nguyên vật liệu,UPCOM
EFI,Công ty Cổ phần Đầu tư Tài chính Giáo dục,Tài chính,UPCOM
DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,Nguyên vật liệu,HOSE
MEC,Công ty Cổ phần Cơ khí - Lắp máy Sông Đà,Công nghiệp,UPCOM
MEF,Công ty Cổ phần MEINFA,Dược phẩm và Y tế,UPCOM
BLI,Tổng Công ty Cổ phần Bảo hiểm Bảo Long,Tài chính,UPCOM
MED,Công ty Cổ phần Dược Trung ương Mediplantex,Dược phẩm và Y tế,HNX
HLO,Công Ty Cổ Phần Công Nghệ Ha Lô,Công nghiệp,UPCOM
MFS,Công ty Cổ phần Dịch vụ kỹ thuật Mobifone,Viễn thông,UPCOM
GPC,Công ty Cổ phần Tập đoàn Green+,Dược phẩm và Y tế,UPCOM
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,HOSE
HSI,Công ty Cổ phần Vật tư Tổng hợp và Phân bón Hóa sinh,Nguyên vật liệu,UPCOM
JOS,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Minh Hải,Hàng Tiêu dùng,UPCOM
MIC,Công ty Cổ phần Kỹ nghệ Khoáng sản Quảng Nam,Nguyên vật liệu,HNX
MIM,Công ty Cổ phần Khoáng sản và Cơ khí,Nguyên vật liệu,UPCOM
C12,Công ty Cổ phần Cầu 12,Công nghiệp,UPCOM
CT3,Công ty Cổ phần Đầu tư và Xây dựng công trình 3,Công nghiệp,UPCOM
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Tài chính,HOSE
MBT,Công ty Cổ phần Bất động sản cho thuê Minh Bảo Tín,Tài chính,UPCOM
MLS,Công ty Cổ phần Chăn nuôi - Mitraco,Hàng Tiêu dùng,UPCOM
MLC,Công ty Cổ phần Môi trường Đô thị Tỉnh Lào Cai,Công nghiệp,UPCOM
MH3,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,Tài chính,UPCOM
HKB,Công ty Cổ phần Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,Hàng Tiêu dùng,UPCOM
DAC,Công ty Cổ phần 382 Đông Anh,Công nghiệp,UPCOM
CIG,Công ty Cổ phần COMA 18,Công nghiệp,HOSE
MZG,Công ty Cổ Phần Miza,Nguyên vật liệu,UPCOM
MML,Công ty Cổ phần Masan MEATLife,Hàng Tiêu dùng,UPCOM
HPT,Công ty Cổ phần Dịch vụ Công nghệ Tin học HPT,Công nghệ Thông tin,UPCOM
DAE,Công ty Cổ phần Sách Giáo dục tại Thành phố Đà Nẵng,Dịch vụ Tiêu dùng,HNX
DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Dược phẩm và Y tế,HOSE
HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,Tài chính,HNX
MPC,Công ty Cổ phần Tập đoàn Thủy sản Minh Phú,Hàng Tiêu dùng,UPCOM
RYG,Công ty Cổ phần Sản xuất và Đầu tư Hoàng Gia,Công nghiệp,HOSE
MQB,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,Công nghiệp,UPCOM
MCH,Công ty Cổ phần Hàng Tiêu Dùng MaSan,Hàng Tiêu dùng,UPCOM
BMF,Công ty Cổ phần Vật liệu Xây dựng và Chất đốt Đồng Nai,Tiện ích Cộng đồng,UPCOM
BVL,Công ty Cổ phần BV Land,Tài chính,UPCOM
